District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm,Budget_per_Acre_Rs
Ariyalur,34592,3530,810,Sugarcane,1199,Alluvial,Tanks,173,26,12,5001,Low,30503,5.07,31,20,68,49.8,3.03,30,16,34,1.16,28.82,2.31,34.05,0.76,0.39,65000.0
Chengalpattu,23278,2654,997,Groundnut,730,Black,Tanks,194,27,15,4560,Low,27788,6.47,32,29,44,45.66,4.33,38,34,15,2.23,39.25,7.88,40.93,2.81,4.91,35000.0
Chennai,56048,2293,1554,Cotton,766,Red,Canals,189,30,20,4895,High,34341,6.05,13,32,77,10.38,1.11,39,12,34,2.2,37.89,0.99,29.1,8.25,3.44,55000.0
Coimbatore,52098,1914,2006,Paddy,1186,Mixed,Canals,155,29,15,4100,High,12917,5.52,17,32,50,13.08,4.85,49,16,25,2.06,15.8,8.27,37.81,14.24,3.92,45000.0
Cuddalore,49256,3877,1022,Groundnut,815,Alluvial,Wells,146,27,18,4516,Medium,20695,5.38,49,53,74,18.45,2.2,42,33,29,1.67,31.07,3.04,26.84,11.41,4.62,35000.0
Dharmapuri,38289,4646,1914,Maize,1059,Red,Wells,126,32,22,4006,Low,21415,6.32,24,46,31,42.03,1.51,46,13,36,1.47,39.57,5.34,17.46,6.38,0.72,40000.0
Dindigul,33434,8579,1675,Groundnut,1190,Laterite,Tube Wells,195,33,19,4887,Low,13750,5.15,31,54,69,44.17,3.59,32,26,23,0.65,27.25,5.82,40.69,14.1,0.59,35000.0
Erode,91482,6541,896,Groundnut,1172,Mixed,Canals,111,27,19,4949,Low,27753,5.94,28,47,58,44.61,3.07,24,18,23,2.37,37.23,8.47,8.54,9.82,2.28,35000.0
Kallakurichi,31395,4925,1350,Sugarcane,874,Mixed,Rain-fed,124,25,19,4324,Low,27289,5.66,31,21,67,22.54,1.81,26,21,17,0.84,27.12,6.06,45.71,12.57,3.54,65000.0
Kanchipuram,97397,3533,1154,Tapioca,989,Red,Canals,148,32,18,4125,Medium,9106,5.08,12,52,79,44.46,2.77,28,39,24,1.16,5.46,7.06,15.46,12.26,2.63,40000.0
Karur,75302,8588,1611,Cotton,1486,Laterite,Rain-fed,181,34,13,4122,Medium,28483,6.0,24,34,43,13.79,2.62,60,23,29,1.74,19.73,3.55,25.1,2.23,0.1,55000.0
Krishnagiri,24165,8891,1410,Maize,1056,Alluvial,Tanks,113,32,13,4939,Low,34155,6.01,35,40,46,26.32,2.4,24,10,35,1.9,31.02,1.21,48.81,3.98,2.7,40000.0
Madurai,23905,2808,1982,Sugarcane,1318,Alluvial,Tube Wells,135,34,22,5073,Medium,12137,5.78,47,50,73,43.16,0.94,33,20,30,2.21,18.62,2.14,38.66,1.66,0.56,65000.0
