District,Crop_Production_Rate_Yearly,Crop_Production_Rate_Monthly,Crop_Production_Rate_Weekly,Major_Crops,Avg_Rainfall_mm,Soil_Type,Irrigation_Source,Fertilizer_Usage_kg_per_ha,Avg_Temperature_C,Mandi_Price_Rupees_per_kg,Water_Requirement_L_per_ha,Pest_Incidence,Farmer_Count,pH_Level,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Nitrogen_kg_per_ha,Profit_Share_Percentage,Organic_Matter_Percentage,Sand_Percentage,Silt_Percentage,Clay_Percentage,Electrical_Conductivity_dS_per_m,Cation_Exchange_Capacity_meq_per_100g,Zinc_ppm,Iron_ppm,Manganese_ppm,Copper_ppm
Amritsar,82950,6948,586,Cotton,418,Calcareous,Tanks,201,18,33,5941,Low,17387,8.54,34,29,62,15.9,2.12,56,11,23,1.23,23.72,3.35,10.97,1.47,1.85
Barnala,79906,2254,1142,Rice,1001,Alluvial,Tube Wells,140,27,30,4693,High,19050,7.12,44,40,58,12.09,0.87,51,37,21,0.94,20.58,2.51,14.53,5.75,2.04
Bathinda,56224,2627,852,Sugarcane,965,Alluvial,Tube Wells,194,39,34,4658,High,17663,8.55,22,52,61,13.03,0.73,31,28,20,2.85,14.65,3.78,13.98,2.55,2.1
Faridkot,108569,5684,562,Maize,880,Calcareous,Rain-fed,150,14,32,4980,High,13440,7.91,56,46,49,48.59,0.67,31,43,20,0.66,20.08,2.54,16.46,5.42,1.26
Fatehgarh Sahib,53435,5287,1061,Cotton,482,Sandy Loam,Canals,192,34,24,5419,Low,20871,7.69,55,71,58,46.91,2.23,61,12,10,2.78,31.57,2.53,8.0,1.44,1.72
Fazilka,60180,8973,564,Rice,673,Sandy Loam,Rain-fed,242,16,33,4994,Medium,22656,7.26,12,65,47,54.76,1.13,28,32,32,2.08,13.68,4.77,16.51,2.16,2.51
Ferozepur,62562,4735,1927,Rice,873,Alluvial,Tube Wells,218,36,35,5021,Medium,23000,8.01,40,64,103,44.57,0.79,58,18,30,1.47,19.04,5.06,5.73,1.94,0.86
Gurdaspur,47464,7081,2007,Rice,886,Clay,Canals,186,12,28,4621,High,21597,8.15,31,40,107,24.46,1.15,55,10,34,1.7,29.68,3.78,15.78,3.05,2.01
Hoshiarpur,41348,4879,1340,Cotton,1155,Clay,Canals,199,27,34,5639,High,24762,7.24,17,27,56,17.92,1.99,55,10,28,1.98,15.26,1.44,11.07,2.34,1.25
Jalandhar,62918,7591,2192,Sugarcane,727,Loam,Tanks,219,15,18,4465,Medium,26623,7.39,29,27,77,34.7,1.41,43,45,27,2.43,14.42,2.45,8.55,6.82,2.35
Kapurthala,80209,5345,1561,Sugarcane,1015,Alluvial,Tanks,210,12,32,5893,Low,7041,7.33,51,70,78,47.97,1.14,43,11,38,0.99,26.95,3.39,17.8,2.16,2.27
Ludhiana,99574,3211,2163,Rice,1183,Calcareous,Tanks,223,35,30,5573,Medium,16933,7.86,56,69,66,15.31,1.96,58,32,17,2.03,30.85,4.83,5.09,1.0,1.5
Malerkotla,119693,6604,2221,Sugarcane,1128,Clay,Tube Wells,238,26,12,5134,High,4423,8.18,27,66,55,29.96,1.26,58,13,17,0.15,18.07,3.04,4.99,3.9,2.55
Mansa,100599,7382,1397,Wheat,802,Sandy Loam,Rain-fed,217,34,31,4855,High,29718,7.56,27,25,102,37.82,0.93,28,22,22,2.16,12.94,5.33,15.88,2.06,1.16
Moga,41775,3390,522,Sugarcane,709,Clay,Tube Wells,201,36,30,5329,Medium,28473,7.61,20,34,103,43.07,1.97,58,24,28,1.61,25.27,2.17,4.83,6.45,0.95
Muktsar Sahib,111778,5801,1229,Cotton,700,Calcareous,Rain-fed,120,34,27,4439,Medium,13742,8.34,50,55,78,29.42,1.97,51,22,40,0.74,11.24,3.75,4.95,2.22,0.26
Pathankot,94130,8662,1545,Maize,798,Clay,Tanks,192,31,25,5877,Low,25405,7.18,18,45,41,15.89,1.29,27,41,39,2.65,17.02,3.62,5.5,1.25,0.36
Patiala,56144,3222,2264,Sugarcane,943,Loam,Tube Wells,189,23,35,5527,Low,4747,8.69,44,28,88,45.52,2.47,59,16,40,0.67,27.85,3.69,11.41,1.32,2.49
